GEOID;Population;Year
0801910052;2328;2015
0801910053;1812;2015
0801910054;1008;2015
0801910055;2609;2015
0801910056;1839;2015
0801910057;1335;2015
0801910058;1119;2015
0801910059;1616;2015
0801910060;1592;2015
0801910061;1779;2015
0801910062;1590;2015
0801910063;1258;2015
0801910064;1687;2015
0801910065;1589;2015
0801910066;2117;2015
0801910067;1943;2015
0801910068;1579;2015
0801910069;2176;2015
0801910070;1646;2015
0801910071;1800;2015
0801910072;2048;2015
0801910073;1508;2015
0801910074;1718;2015
0801910075;1498;2015
0801910076;2035;2015
0801910077;1858;2015
0801910078;2230;2015
0801910079;1802;2015
0801910080;2453;2015
0801910081;1890;2015
0801910082;1982;2015
0801910083;2230;2015
0801910084;1586;2015
0801910085;2009;2015
0801910086;1957;2015
0801910087;1747;2015
0801910088;1594;2015
0801910089;1868;2015
0801910090;1351;2015
0801910091;1997;2015
0801910092;1521;2015
0801910093;1102;2015
0801910094;2617;2015
0801910095;1278;2015
0801910096;1567;2015
0801910097;1569;2015
0801910098;1881;2015
0801910099;1095;2015
0801910100;1587;2015
0801910101;1351;2015
0801910102;2571;2015
0801910103;2201;2015
0801910104;1679;2015
0801910105;2233;2015
0801910106;1021;2015
0801910107;1520;2015
0801910108;1356;2015
0801910109;1520;2015
0801910110;1629;2015
0801910111;1308;2015
0801910112;1581;2015
0801910113;1197;2015
0801910114;1365;2015
0801910115;1419;2015
0801910116;1866;2015
0801910117;1296;2015
0801910118;1004;2015
0801910119;1121;2015
0801910120;1411;2015
0801910121;1565;2015
0801910122;1563;2015
0801910123;1403;2015
0801910124;1118;2015
0801910125;1134;2015
0801910126;1086;2015
0801910127;1000;2015
0801910128;1629;2015
0801910129;1201;2015
0801910130;1175;2015
0801910131;1178;2015
0801910132;1250;2015
0801910133;1688;2015
0801910134;1526;2015
0801910135;1207;2015
0801910136;1362;2015
0801910137;1584;2015
0801910138;1536;2015
0801910139;1613;2015
0801910140;1628;2015
0801910141;1106;2015
0801910142;1610;2015
0801910143;1704;2015
0801910234;1784;2015
0801910235;1330;2015
0801910236;1661;2015
0801910237;765;2015
0802001001;2262;2015
0802001002;1947;2015
0802001003;2461;2015
0802101001;74;2015
